,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD),,
,Jun-4-2018,1.09%,0.61%,,,
,Jun-5-2018,0.61%,0.09%,,,
,Jun-6-2018,0.09%,0.47%,,,
,Jun-7-2018,0.47%,-0.81%,,,
,Jun-8-2018,-0.81%,0.52%,,,
,Jun-11-2018,0.52%,0.34%,,,
,Jun-12-2018,0.34%,0.39%,,,
,Jun-13-2018,0.39%,-0.19%,,,
,Jun-14-2018,-0.19%,0.55%,,,
,Jun-15-2018,0.55%,0.02%,,,
,Jun-18-2018,0.02%,0.55%,,,
,Jun-19-2018,0.55%,0.96%,,,
,Jun-20-2018,0.96%,0.26%,,,
,Jun-21-2018,0.26%,-1.11%,,,
,Jun-22-2018,-1.11%,-0.66%,,,
,Jun-25-2018,-0.66%,-1.40%,,,
,Jun-26-2018,-1.40%,0.05%,,,
,Jun-27-2018,0.05%,-1.80%,,,
,Jun-28-2018,-1.80%,0.99%,,,
,Jun-29-2018,0.99%,-0.33%,,,
,Jul-2-2018,-0.33%,1.63%,,,
,Jul-5-2018,1.63%,0.59%,,,
,Jul-6-2018,0.59%,1.30%,,,
,Jul-9-2018,1.30%,0.39%,,,
,Jul-10-2018,0.39%,-0.03%,,,
,Jul-11-2018,-0.03%,0.26%,,,
,Jul-12-2018,0.26%,1.22%,,,
,Jul-13-2018,1.22%,0.10%,,,
,Jul-16-2018,0.10%,-0.26%,,,
,Jul-17-2018,-0.26%,1.69%,,,
,Jul-18-2018,1.69%,-0.21%,,,
,Jul-19-2018,-0.21%,-0.14%,,,
,Jul-20-2018,-0.14%,-0.32%,,,
,Jul-23-2018,-0.32%,0.60%,,,
,Jul-24-2018,0.60%,-0.60%,,,
,Jul-25-2018,-0.60%,1.36%,,,
,Jul-26-2018,1.36%,-0.11%,,,
,Jul-27-2018,-0.11%,-2.24%,,,
,Jul-30-2018,-2.24%,-1.41%,,,
,Jul-31-2018,-1.41%,0.22%,,,
,Aug-1-2018,0.22%,0.14%,,,
,Aug-2-2018,0.14%,2.08%,,,
,Aug-3-2018,2.08%,0.16%,,,
,Aug-6-2018,0.16%,0.67%,,,
,Aug-7-2018,0.67%,0.07%,,,
,Aug-8-2018,0.07%,0.20%,,,
,Aug-9-2018,0.20%,-0.05%,,,
,Aug-10-2018,-0.05%,-0.10%,,,
,Aug-13-2018,-0.10%,-0.26%,,,
