,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD)
,Oct-11-2018,-3.83%,-0.84%,Sell
,Oct-12-2018,-0.84%,0.19%,HOLD
,Oct-15-2018,0.19%,-0.92%,HOLD
,Oct-16-2018,-0.92%,1.80%,HOLD
,Oct-17-2018,1.80%,-0.48%,HOLD
,Oct-18-2018,-0.48%,-1.85%,HOLD
,Oct-19-2018,-1.85%,-0.77%,HOLD
,Oct-22-2018,-0.77%,-0.06%,HOLD
,Oct-23-2018,-0.06%,1.52%,HOLD
,Oct-24-2018,1.52%,-4.49%,HOLD
,Oct-25-2018,-4.49%,1.76%,HOLD
,Oct-26-2018,1.76%,0.91%,HOLD
,Oct-29-2018,0.91%,-3.22%,HOLD
,Oct-30-2018,-3.22%,1.85%,HOLD
,Oct-31-2018,1.85%,0.66%,HOLD
,Nov-1-2018,0.66%,1.19%,HOLD
,Nov-2-2018,1.19%,-1.17%,HOLD
,Nov-5-2018,-1.17%,-0.38%,Buy
,Nov-6-2018,-0.38%,0.79%,HOLD
,Nov-7-2018,0.79%,1.88%,HOLD
,Nov-8-2018,1.88%,-0.15%,HOLD
,Nov-9-2018,-0.15%,-0.75%,HOLD
,Nov-12-2018,-0.75%,-2.24%,HOLD
,Nov-13-2018,-2.24%,-0.39%,HOLD
,Nov-14-2018,-0.39%,-1.75%,Sell
,Nov-15-2018,-1.75%,1.98%,HOLD
,Nov-16-2018,1.98%,0.62%,HOLD
,Nov-19-2018,0.62%,-2.81%,HOLD
,Nov-20-2018,-2.81%,0.55%,HOLD
,Nov-21-2018,0.55%,-0.55%,HOLD
,Nov-26-2018,-0.55%,0.93%,HOLD
,Nov-27-2018,0.93%,0.91%,HOLD
,Nov-28-2018,0.91%,2.45%,HOLD
,Nov-29-2018,2.45%,0.08%,Buy
,Nov-30-2018,0.08%,0.63%,Buy
,Dec-3-2018,0.63%,-0.47%,HOLD
,Dec-4-2018,-0.47%,-3.25%,HOLD
,Dec-6-2018,-3.25%,2.71%,HOLD
,Dec-7-2018,2.71%,-2.89%,HOLD
,Dec-10-2018,-2.89%,1.19%,Sell
,Dec-11-2018,1.19%,-1.26%,Buy
,Dec-12-2018,-1.26%,-0.61%,HOLD
,Dec-13-2018,-0.61%,-0.56%,HOLD
,Dec-14-2018,-0.56%,-1.40%,Sell
,Dec-17-2018,-1.40%,-1.78%,HOLD
,Dec-18-2018,-1.78%,-0.14%,HOLD
,Dec-19-2018,-0.14%,-2.18%,HOLD
,Dec-20-2018,-2.18%,-1.10%,HOLD
,Dec-21-2018,-1.10%,-3.52%,HOLD
,Dec-26-2018,-3.52%,5.09%,HOLD
,Dec-27-2018,5.09%,1.70%,HOLD
,Dec-28-2018,1.70%,-0.62%,HOLD
,Dec-31-2018,-0.62%,-0.16%,HOLD
,Jan-2-2019,-0.16%,2.58%,Buy
,Jan-3-2019,2.58%,-1.92%,HOLD
,Jan-4-2019,-1.92%,2.77%,HOLD
,Jan-7-2019,2.77%,0.95%,HOLD
,Jan-8-2019,0.95%,0.00%,HOLD
,Jan-9-2019,0.00%,0.39%,HOLD
,Jan-10-2019,0.39%,1.02%,Buy
,Jan-11-2019,1.02%,0.27%,HOLD
,Jan-14-2019,0.27%,-0.02%,Buy
,Jan-15-2019,-0.02%,1.56%,HOLD
,Jan-16-2019,1.56%,-0.15%,HOLD
,Jan-17-2019,-0.15%,1.10%,HOLD
,Jan-18-2019,1.10%,0.21%,HOLD
,Jan-22-2019,0.21%,-1.21%,HOLD
,Jan-23-2019,-1.21%,-0.36%,HOLD
,Jan-24-2019,-0.36%,0.33%,HOLD
,Jan-25-2019,0.33%,0.47%,HOLD
,Jan-28-2019,0.47%,0.04%,HOLD
,Jan-29-2019,0.04%,-1.04%,HOLD
,Jan-30-2019,-1.04%,1.48%,Sell
,Jan-31-2019,1.48%,0.91%,Buy
,Feb-1-2019,0.91%,0.04%,HOLD
,Feb-4-2019,0.04%,1.19%,HOLD
,Feb-5-2019,1.19%,0.75%,HOLD
,Feb-6-2019,0.75%,-0.33%,HOLD
,Feb-7-2019,-0.33%,-0.47%,HOLD
,Feb-8-2019,-0.47%,1.06%,HOLD
,Feb-11-2019,1.06%,-0.44%,HOLD
,Feb-12-2019,-0.44%,0.80%,HOLD
,Feb-13-2019,0.80%,-0.38%,HOLD
,Feb-14-2019,-0.38%,0.47%,HOLD
,Feb-15-2019,0.47%,-0.34%,HOLD
,Feb-19-2019,-0.34%,0.51%,HOLD
,Feb-20-2019,0.51%,-0.10%,HOLD
,Feb-21-2019,-0.10%,-0.10%,HOLD
,Feb-22-2019,-0.10%,0.53%,HOLD
,Feb-25-2019,0.53%,-0.40%,HOLD
,Feb-26-2019,-0.40%,0.39%,HOLD
,Feb-27-2019,0.39%,0.38%,HOLD
,Feb-28-2019,0.38%,0.08%,HOLD
,Mar-1-2019,0.08%,0.01%,HOLD
,Mar-4-2019,0.01%,-0.52%,HOLD
,Mar-5-2019,-0.52%,0.01%,HOLD
,Mar-6-2019,0.01%,-0.66%,HOLD
,Mar-7-2019,-0.66%,-0.96%,Sell
,Mar-8-2019,-0.96%,0.97%,HOLD
,Mar-11-2019,0.97%,1.69%,Sell
